Id Database record;Name_site;Province;Country;Region;Laboratory;CRA;Error;Life;Method;Sample;Type;Specie;13C;15N;CN;Level;SU or UE;Periodization;Phase;Cultural_horizon;Cultural info;LongGM;LatGM;Short reference;Bibliography
601;Kanpanoste;Álava;Spain;West Mediterranean;GrN-22442;7920;100;Short;Conventional;Bone;Bulk;n.d;;;;Lanh-i base;;Mesolithic;Early;Notches and Denticulates Mesolithic;;-2.474;42.753;Utrilla et al. 2009;Utrilla, P., Montes Ramírez, L., Mazo, C., Martínez Bea, M., Domingo Martínez, R., 2009. El mesolítico Geométrico en Aragón, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 131–190.
602;Kanpanoste Goikoa;Álava;Spain;West Mediterranean;GrN-20289;6550;260;Short;Conventional;Bone;Bulk;n.d;;;;III upper;;Mesolithic;Late;Castelnovian B;15 trapezes / 9 triangles /  [based on Alday 1997];-2.474;42.753;Alday 1998;Alday, A., 1998. Kanpanoste Goikoa. Mem. Yacim. Alaveses 5.
603;Kanpanoste Goikoa;Álava;Spain;West Mediterranean;GrN-20455;7860;330;Short;Conventional;Bone;Bulk;n.d;;;;III lower;;Mesolithic;Early;Notches and Denticulates Mesolithic;;-2.474;42.753;Alday 1998;Alday, A., 1998. Kanpanoste Goikoa. Mem. Yacim. Alaveses 5.
604;Kanpanoste Goikoa;Álava;Spain;West Mediterranean;GrN-20215;7620;80;Short;Conventional;Bone;Bulk;n.d;;;;III lower;;Mesolithic;Early;Notches and Denticulates Mesolithic;;-2.474;42.753;Alday 1998;Alday, A., 1998. Kanpanoste Goikoa. Mem. Yacim. Alaveses 5.
605;Kanpanoste Goikoa;Álava;Spain;West Mediterranean;GrN-20214;6360;70;Short;Conventional;Bone;Bulk;n.d;;;;III upper;;Mesolithic;Late;Castelnovian B;15 trapezes / 9 triangles /  [based on Alday 1997];-2.474;42.753;Alday 1998;Alday, A., 1998. Kanpanoste Goikoa. Mem. Yacim. Alaveses 5.
867;Romagnano;P. Trentino;Italy;West Mediterranean;R-1145a;9200;60;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC8-9;Mesolithic;Early;Sauveterrian;Middle Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
868;Romagnano;P. Trentino;Italy;West Mediterranean;R-1144a;9100;90;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC7;Mesolithic;Early;Sauveterrian;Middle Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
869;Romagnano;P. Trentino;Italy;West Mediterranean;R-1143a;9090;90;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC5-6;Mesolithic;Early;Sauveterrian;Middle Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
870;Romagnano;P. Trentino;Italy;West Mediterranean;R-1142;8740;90;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC4;Mesolithic;Early;Sauveterrian;Recent Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
871;Romagnano;P. Trentino;Italy;West Mediterranean;R-1141;8590;70;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC3;Mesolithic;Early;Sauveterrian;Recent Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
872;Romagnano;P. Trentino;Italy;West Mediterranean;R-1140;8560;70;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC2;Mesolithic;Early;Sauveterrian;Recent Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
873;Romagnano;P. Trentino;Italy;West Mediterranean;R-1139;8220;70;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AC1;Mesolithic;Early;Sauveterrian;Recent Sauveterrian;11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
874;Romagnano;P. Trentino;Italy;West Mediterranean;R-1138;8140;80;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AB3;Mesolithic;Late;Castelnovian A;88 trapezes + 18 Triangles + 2 segments  [Boglio y Kozlowski 1984];11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
875;Romagnano;P. Trentino;Italy;West Mediterranean;R-1137;7850;80;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AB1-2;Mesolithic;Late;Castelnovian A;88 trapezes + 18 Triangles + 2 segments  [Boglio y Kozlowski 1984];11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
876;Romagnano;P. Trentino;Italy;West Mediterranean;R-1137B;7800;80;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AB1-2;Mesolithic;Late;Castelnovian A;88 trapezes + 18 Triangles + 2 segments  [Boglio y Kozlowski 1984];11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
877;Romagnano;P. Trentino;Italy;West Mediterranean;R-1137A;7500;160;Long;Conventional;Charcoal;n.d;n.d;;;;Loc III;AB1-2;Mesolithic;Late;Castelnovian A;88 trapezes + 18 Triangles + 2 segments  [Boglio y Kozlowski 1984];11.1192;46;Fontana et al. 2015;Fontana, F., Flor, E., Duches, R. 2015. Technological continuity and discontinuity in the Romagnano Loc III rock shelter (NE Italy) Mesolithic Series. Quaternary International 1-15. http://dx.doi.org/10.1016/j.quaint.2015.10.046
878;Romagnano;P. Trentino;Italy;West Mediterranean;R-1136;6480;50;Long;Conventional;Charcoal;n.d;n.d;;;;T4;AA1-2;Mesolithic;Late;Castelnovian B;135 trapezes + 2 Triangles + 2 segments [Boglio y Kozlowski 1984];11.1192;46;Facchinetti 2012;Facchinetti, L., 2012. Considerazioni sul popolamento dell’Italia Settentrionale nel periodo Neolitico attraverso le datazioni radiometriche al 14C (Thesis of Master). Università degli studi di trento, Trento.
504;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5632;9300;110;Short;Conventional;Bone;Singular;Ursus artos;;;;Camera Torcia;2/89 BNC;Mesolithic;Early; Sauveterrian;Non lithic information;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
505;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5618;9110;70;Long;Conventional;Charcoal;Singular;n.d;;;;Sala Focolare;1/89 C;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
506;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-4510;8520;190;Short;Conventional;Bone;Singular;Cervus sp.;;;;Sala Focolare;2/89 BNC;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
507;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5492;8270;90;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/88 C;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
508;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5481;8140;80;Long;Conventional;Charcoal;Singular;n.d;;;;Sala Focolare;1/88 C;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
509;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5479;7870;70;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/88 FM;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
510;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5613;7660;100;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/89 FM;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
511;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-6155;7280;150;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/89 FA;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
512;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-6153;6550;150;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/88 FA;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
513;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-5639;6460;70;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/88 FB;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
514;Grotta d’Ernesto;P. Trentino;Italy;West Mediterranean;Gd-6154;6000;140;Long;Conventional;Charcoal;Singular;n.d;;;;Camera Torcia;1/88 FC;Mesolithic;Early; Sauveterrian;;11.626;46.028;Skeates y Whitehouse, 1996;Skeates, R., Whitehouse, R., 1996. New radiocarbon dates for prehistoric Italy 1. Accord. Res. Pap. 5, 137–150.
318;Cueva Blanca;Albacete;Spain;West Mediterranean;OxA-31633;7968;40;Long;AMS;Charcoal;Singular;Quercus ilex / coccifera;;;;1b / 2 superior;2 superior;Mesolithic;Early;Notches and Denticulates Mesolithic;Non diagnostic material (N = 20);-1.5546;38.469;Mingo et al 2017;Mingo A, Barba J, Cubas M, et al (2017) Cronometría del proceso de neolitización en los Campos de Hellín y la cuenca baja del rió Mundo. In: Barceló JA, Bodganovic I, Morell B (eds) Actas del Congreso de Cronometrías Para la Historia de la Península Ibérica (IberCrono 2017). CEUR-WS, Barcelona, pp 25–34
319;Cueva Blanca;Albacete;Spain;West Mediterranean;Beta-288287;7610;40;Long;AMS;Charcoal;Singular;Pinus halepensis;;;;1b / 2 superior;1b base;Mesolithic;Late;Castelnovian A;3 trapezes [Based on Mingo et al. 2012];-1.5546;38.469;Mingo et al 2016;"Mingo A, Barba J, Uzquiano Ollero P, et al (2016) El yacimiento mesolítico de Cuva Blanca (Hellín, Albacete): 6 años de investigación multidisciplinar. In: Gamo B, Sanz R (eds) I reunión científica de Arqueología de Albacete. Instituto de Estudios Albacetenses ""Don Juan Manuel, Albacete, pp 51–66"
320;Cueva Blanca;Albacete;Spain;West Mediterranean;Beta-288288;6730;40;Long;AMS;Charcoal;Singular;Pinus halepensis;;;;1b / 2 superior;1b top;Mesolithic;Late;Castelnovian B;3 trapezes [Based on Mingo et al. 2012] + 1 triangle [2016];-1.5546;38.469;Mingo et al 2016;"Mingo A, Barba J, Uzquiano Ollero P, et al (2016) El yacimiento mesolítico de Cuva Blanca (Hellín, Albacete): 6 años de investigación multidisciplinar. In: Gamo B, Sanz R (eds) I reunión científica de Arqueología de Albacete. Instituto de Estudios Albacetenses ""Don Juan Manuel, Albacete, pp 51–66"
975;Vale da Fonte da Moça;Distrito Santarém;Portugal;Atlantic Coast;TO-11864;6890;140;Short;AMS;Bone;Bulk;Mammal + bird;;;;-;50-60;Mesolithic;Late;Castelnovian C;* similar proportion of triangles and segments (+0.7%);-9.0166;38.847;Carvalho 2008;
976;Vale da Fonte da Moça;Distrito Santarém;Portugal;Atlantic Coast;TO-11863;6650;60;Short;AMS;Bone;Bulk;Leporidae sp. + Sus sp.;;;;-;100-120;Mesolithic;Late;Castelnovian C;* similar proportion of triangles and segments (+0.7%);-9.0166;38.847;Carvalho 2008;
231;Cabeço do Curral Velho;Distrito de Lisboa;Portugal;Atlantic Coast;ICEN-269;8410;90;Short;Conventional;Shell;n.d;Cerastodema edule;0;;;Shell Midden;;Mesolithic;Early;Initial Mesolithic;;-9.41097;39.083;Araújo et al. 2014;
232;Cabeço do Curral Velho;Distrito de Lisboa;Portugal;Atlantic Coast;ICEN-270;8400;60;Short;Conventional;Shell;n.d;Cerastodema edule;0.67;;;Shell Midden;;Mesolithic;Early;Initial Mesolithic;;-9.41097;39.083;Araújo et al. 2014;
515;Grotta de la Mura;P. Apulia;Italy;West Mediterranean;Utc-780;8420;120;Long;n.d;Charcoal;n.d;n.d;;;;Cut 10;Layer 2;Mesolithic;Early;Sauveterrian;Isosceles triangles + double backed points [Biagi / Spataro 2002, Saguntum];17.2982;40.952;Templer 2016;Templer, M., 2016. What Happened to the Southern European Hunter-Gatherers at the Advent of Farming, between Western Anatolia and the Head of the Adriatic Sea (9000-4500 BC)? A narrative description based on the archaeological record (PhD in Prehistory). University of Neuchâthel, Neuchâthel.
516;Grotta de la Mura;P. Apulia;Italy;West Mediterranean;Utc-1417;8290;50;Long;n.d;Charcoal;n.d;n.d;;;;Cut 5;Layer 2;Mesolithic;Early;Sauveterrian;Isosceles triangles + double backed points [Biagi / Spataro 2002, Saguntum];17.2982;40.952;Templer 2016;Templer, M., 2016. What Happened to the Southern European Hunter-Gatherers at the Advent of Farming, between Western Anatolia and the Head of the Adriatic Sea (9000-4500 BC)? A narrative description based on the archaeological record (PhD in Prehistory). University of Neuchâthel, Neuchâthel.
618;Kopacina Spilja;Blk. Split-Dalmatia;Croatia;West Balkans;Z-778;7850;140;Long;Conventional;Charcoal;n.d;n.d;;;;Below Bronze age;;Mesolithic;Late;;;16.5385;43.342;Templer 2011;Templer, M., 2011. What Happened to the Southern European Hunter-Gatherers at the Advent of Farming, between Western Anatolia and the Head of the Adriatic Sea (9000-4500 BC)? A narrative description based on the archaeological record (PhD in Prehistory). University of Neuchâthel, Neuchâthel.
593;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrA-25774;7770;50;n.d.;AMS;Charcoal;Singular;n.d.;;;;D top;;Mesolithic;Late;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
594;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrA-23733;8300;50;Short;AMS;Bone;Singular;Human;-16.7;11.5;;D bottom;;Mesolithic ;;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
595;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrN-27984;8190;100;n.d.;Conventional;Charcoal;n.d.;n.d.;;;;F;;Mesolithic;;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
596;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrN-28008;7780;130;Short;Conventional;Shell;n.d.;n.d.;;;;F;;Mesolithic;;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
597;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrN-28387;8470;100;n.d.;Conventional;Charcoal;n.d.;n.d.;;;;G;;Mesolithic;;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
598;Jaizkibel 3;Guipúzcoa;Spain;West Mediterranean;GrN-25776;8470;50;n.d.;AMS;Charcoal;Singular;n.d.;;;;G top;;Mesolithic;;;Archaeological information is not available;-1.8077;43.377;Iriarte et al. 2010;Iriarte MJ, Arrizabalaga A, Etxebarria F, Herrasti L, Álvarez E. 2010. Shell midden people in northern Iberia: New data from the mesolithic rock shelter of J3 (Basque Country, Spain). Zephyrus LXV:117–127.
47;Alba-Mokafè;P. Piamonte;Italy;West Mediterranean;OCE-033;7091;45;Short;AMS;Bone;Singular;Human;-21.7;;3.6;;;Mesolithic;Late;;Reused during the Bronze Age [Venturino et al. 2018];8.0131;44.665;Skeates 2003;Skeates, R., 2003. New radiocarbon dates for prehistoric Italy: supplementary list 5. Accord. Res. Pap. 9, 163–182.
797;Podosojna Pécina;Blk. Istria;Croatia;West Balkans;Z-198;6460;95;Long;Conventional;Charcoal;n.d;n.d;;;;G;;Mesolithic;;;;14.2131;45.257;Templer 2016;Templer, M., 2016. What Happened to the Southern European Hunter-Gatherers at the Advent of Farming, between Western Anatolia and the Head of the Adriatic Sea (9000-4500 BC)? A narrative description based on the archaeological record (PhD in Prehistory). University of Neuchâthel, Neuchâthel.
991;Valmaione 2;P. Lombardía;Italy;West Mediterranean;GrN-20890;9630;100;Long;Conventional;Charcoal;n.d;n.d;;;;;;Mesolithic;Early;Sauveterrian;Sauveterrian industry [Biagi 1997, Recenti ricerche sul mesolitico];10.2166;45.833;Skeates y Whitehouse 1999;Skeates, R., Whitehouse, R., 1999. New radiocarbon Dates for prehistoric italy, 3. Accord. Res. Pap. 7, 149–162.
992;Valmaione 2;P. Lombardía;Italy;West Mediterranean;GrN-20093;9410;80;Long;Conventional;Charcoal;n.d;n.d;;;;;;Mesolithic;Early;Sauveterrian;Sauveterrian industry [Biagi 1997, Recenti ricerche sul mesolitico];10.2166;45.833;Skeates y Whitehouse 1999;Skeates, R., Whitehouse, R., 1999. New radiocarbon Dates for prehistoric italy, 3. Accord. Res. Pap. 7, 149–162.
626;Laghetti del Cretoso;P. Lombardía;Italy;West Mediterranean;GrN-21889;7870;50;Long;Conventional;Charcoal;n.d;Picea excelsa;-23.8;;;2;Hearth 9;Mesolithic;Late;Castelnovian A;Presence of trapezes and microburins;10.3147;45.855;Skeates y Whitehouse 1999;Skeates, R., Whitehouse, R., 1999. New radiocarbon Dates for prehistoric italy, 3. Accord. Res. Pap. 7, 149–162.
627;Laghetti del Cretoso;P. Lombardía;Italy;West Mediterranean;Beta-35241;7850;80;Long;Conventional;Charcoal;n.d;Picea / Larix;;;;2;Hearth 10;Mesolithic;Late;Castelnovian A;Presence of trapezes and microburins;10.3147;45.855;Skeates y Whitehouse 1999;Skeates, R., Whitehouse, R., 1999. New radiocarbon Dates for prehistoric italy, 3. Accord. Res. Pap. 7, 149–162.
628;Laghetti del Cretoso;P. Lombardía;Italy;West Mediterranean;GrN-18091;6870;70;Long;Conventional;Charcoal;n.d;Picea / Larix;-23.82;;;2;Hearth 10;Mesolithic;Late;Castelnovian B;Presence of trapezes and microburins;10.3147;45.855;Skeates y Whitehouse 1999;Skeates, R., Whitehouse, R., 1999. New radiocarbon Dates for prehistoric italy, 3. Accord. Res. Pap. 7, 149–162.
