Id Database record;Name_site;Province;Country;Region;Laboratory;CRA;Error;Life;Method;Sample;Type;Specie;13C;15N;CN;Level;SU or UE;Period;Phase;Cultural_horizon;Periodization;Cultural info;LongGM;LatGM;Short reference;Bibliography
184;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28036;7251;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 6 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
185;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28037;7307;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 7 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
186;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28038;7365;49;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 8 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
187;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28040;7305;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 10 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
188;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28041;7384;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 11 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
189;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28042;7323;48;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 12 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
190;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28050;7377;33;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 23 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 2 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
191;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28047;7376;34;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 19 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
192;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28043;7273;34;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 15 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
193;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28044;7311;34;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 16 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
194;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28045;7315;35;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 17 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
195;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28046;7368;39;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 18 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
196;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28048;7445;33;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 21 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
197;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-28049;7193;33;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 22 / West cut (shellmidden) / Mendes Correa area;Shellmidden phase 1 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
198;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-30672;7360;34;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 22 / West cut 2 (shellmidden)  / Jean Roche area;Shellmidden phase 2 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
199;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Wk-30674;7356;33;Short;AMS;Shell;n.d;Scrobicularia plana;;;;Level 22 / North cut (shellmidden)  / Jean Roche area;Shellmidden phase 2 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Bicho et al. 2011;Bicho, N., Cascalheira, J., Marreiros, J., Pereira, T., 2011. The 2008-2010 excavations of Cabeço da Amoreira, Muge, Portugal. Mesolith. Misc. 21, 3–13.
200;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Hv-1349;7135;65;Long;Conventional;Charcoal;n.d;n.d;;;;;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Carvalho 2009;Carvalho, A.F., 2009. O Mesolítico final em Portugal, in: Utrilla, P., Montes, L. (Eds.), El Mesolítico Geométrico En La Península Ibérica. Universidad de Zaragoza, Zaragoza, pp. 33–68.
201;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Beta-127450;6850;40;Short;AMS;Bone;Singular;Human;-16.5;11.9;;Burial 7 / Jean Roche area (Shellmidden);Burial phase 2 (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
202;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Sac-2023;7260;60;Short;Conventional;Shell;Singular;Scrobicularia plana;;;;Level 1b / Jose Rolao area (Cairn context);Cairn phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
203;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Sac-2079;7050;45;Short;Conventional;Shell;Singular;Cerastodema edule;;;;Level 1b / Jose Rolao area (Cairn context);Cairn phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
204;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Sac-2080;7080;80;Short;Conventional;Shell;Singular;Scrobicularia plana;;;;Level 1b / Jose Rolao area (Cairn context);Cairn phase (Bicho’s proposal);Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
208;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;TO-11862;6990;60;Short;AMS;Bone;n.d;n.d;-19.5;;;;;Mesolithic;Late;Castelnovian B;Late Mesolithic;without archaeological remains relation;-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
210;Cabeço da Amoreira;Distrito Santarem;Portugal;West Mediterranean;Sa-195;7030;350;Long;Conventional;Charcoal;n.d;n.d;;;;Level 39 Jean Roche area (Shellmidden);;Mesolithic;Late;Castelnovian B;Late Mesolithic;45 Trapezes / 411 Triangles / 38 Segments  [Roche 1970];-8.48635;39.12782;Gibaja y Carvalho 2010;Gibaja Bao, J.F., Carvalho, A.F. (Eds.), 2010. Os últimos caçadores-recolectores e as primeiras comunidades productoras do sul da Península Ibérica e do norte de Marrocos. Universidade do Algarve, Faro.
